,price,year,manufacturer,condition,odometer,type,group
0,17899,2012.0,volkswagen,excellent,63500.0,hatchback,1
24,4600,2008.0,honda,good,110982.0,sedan,2
48,28000,2004.0,ford,good,67348.0,truck,2
52,18999,2015.0,mercedes-benz,excellent,37000.0,sedan,1
54,18999,2013.0,bmw,excellent,65000.0,coupe,3
57,2500,2004.0,ford,good,129000.0,coupe,2
63,29999,2012.0,mercedes-benz,excellent,83000.0,sedan,1
81,21999,2004.0,mercedes-benz,excellent,55000.0,convertible,1
109,12000,2015.0,volkswagen,like new,65000.0,sedan,1
112,4000,2011.0,nissan,excellent,110000.0,sedan,1
114,16999,2013.0,subaru,excellent,32000.0,coupe,1
115,22999,2017.0,subaru,excellent,39000.0,sedan,1
116,29999,2012.0,rover,excellent,61000.0,SUV,1
118,21999,2014.0,bmw,excellent,76000.0,sedan,3
120,24999,2016.0,bmw,excellent,56000.0,sedan,3
122,21999,2015.0,bmw,excellent,56000.0,sedan,3
123,14999,2005.0,bmw,excellent,43000.0,convertible,3
124,25999,2014.0,bmw,excellent,49000.0,SUV,3
125,28999,2017.0,ford,excellent,5000.0,coupe,2
137,14995,2010.0,ford,good,28656.0,coupe,2
139,10995,2011.0,gmc,good,135529.0,SUV,2
146,17500,2018.0,toyota,like new,33565.0,SUV,1
152,8845,2010.0,chevrolet,excellent,61700.0,sedan,3
153,8490,2015.0,mitsubishi,excellent,51712.0,hatchback,1
154,6445,2012.0,chevrolet,excellent,99587.0,sedan,3
155,7435,2004.0,ram,excellent,201312.0,pickup,1
157,5000,2003.0,toyota,good,209000.0,truck,1
158,10499,2008.0,saturn,good,89869.0,convertible,1
161,9995,2008.0,gmc,excellent,200000.0,pickup,2
163,29000,2014.0,ford,excellent,32000.0,pickup,2
164,7999,2006.0,ford,excellent,196000.0,truck,2
167,6500,1999.0,nissan,excellent,75400.0,pickup,1
170,4500,2004.0,volkswagen,like new,74000.0,hatchback,1
172,13500,2004.0,jeep,excellent,133287.0,SUV,2
175,8995,2013.0,nissan,excellent,130423.0,SUV,1
176,2400,2002.0,chevrolet,good,194956.0,SUV,3
177,7295,2007.0,hyundai,excellent,77580.0,SUV,2
178,3495,2006.0,pontiac,excellent,162033.0,convertible,1
179,3500,2009.0,toyota,excellent,191538.0,sedan,1
180,8400,2008.0,chevrolet,excellent,176353.0,SUV,3
181,3600,2006.0,mitsubishi,excellent,133000.0,sedan,1
182,4200,2006.0,honda,good,129046.0,wagon,2
191,22500,2016.0,ford,like new,46850.0,SUV,2
192,8300,2013.0,ford,excellent,116500.0,sedan,2
193,1700,1999.0,toyota,good,135000.0,sedan,1
200,21500,2008.0,gmc,excellent,224878.0,truck,2
201,16900,2017.0,toyota,like new,51300.0,SUV,1
203,12000,2012.0,ford,excellent,151000.0,truck,2
208,9000,2007.0,chevrolet,good,165000.0,SUV,3
209,11000,2001.0,jaguar,excellent,78000.0,convertible,2
250,7900,2005.0,lexus,excellent,130940.0,SUV,2
252,8600,2008.0,lexus,excellent,131000.0,sedan,2
254,5900,2006.0,ram,excellent,148000.0,truck,1
255,8000,2013.0,chevrolet,like new,89000.0,sedan,3
256,5200,2004.0,dodge,excellent,127465.0,SUV,3
257,9600,2006.0,ram,excellent,97205.0,truck,1
258,14255,2014.0,mini,excellent,34265.0,convertible,1
259,14995,2015.0,toyota,like new,43125.0,sedan,1
260,24800,2011.0,ram,excellent,150505.0,truck,1
261,14255,2008.0,ram,excellent,77235.0,truck,1
268,3999,2007.0,ford,excellent,98430.0,sedan,2
273,15350,2017.0,nissan,like new,40000.0,sedan,1
